id,gho_code,year_code,region_code,world_bank_income_group_group_code,country_code,sex_code
1313d658-8cb7-4b0d-b33b-7b4481cdb085,WHOSIS_000001,2013,AFR,NA,DZA,FMLE
d392d8c9-f9f8-408c-8fdf-d06b163c1318,WHOSIS_000001,2013,AFR,NA,DZA,MLE
79b9cf88-fa75-4947-b47f-e7c70f026f56,WHOSIS_000001,2012,AFR,WB_UMI,DZA,BTSX
0d21123b-9532-45c7-8863-a167adc2508d,WHOSIS_000001,2012,AFR,WB_UMI,DZA,FMLE
8f8df2b2-94b8-4605-b26a-b1c8bc1da432,WHOSIS_000001,2012,AFR,WB_UMI,DZA,MLE
2d52b085-7b3d-4023-bc33-8243b37bad22,WHOSIS_000001,2000,AFR,WB_UMI,DZA,BTSX
993e7909-2415-42ed-a36a-f7ba3b0b5afb,WHOSIS_000001,2000,AFR,WB_UMI,DZA,FMLE
6465e646-3cf1-49d3-b4f6-62f6c4574154,WHOSIS_000001,2000,AFR,WB_UMI,DZA,MLE
708ae560-1ec0-45be-9369-9bf62a1456f7,WHOSIS_000001,1990,AFR,WB_UMI,DZA,BTSX
aaed1045-fe20-42de-b6e1-9f033e2eb255,WHOSIS_000001,1990,AFR,WB_UMI,DZA,FMLE
2a45b3ff-567c-42b6-8c3d-a1748a143847,WHOSIS_000001,1990,AFR,WB_UMI,DZA,MLE
a1d25d02-874e-4a94-b15c-55cce665a3fa,WHOSIS_000002,2013,AFR,WB_UMI,DZA,BTSX
cba0c50f-0bf4-420b-bb7e-7d2e5da79c83,WHOSIS_000002,2013,AFR,WB_UMI,DZA,FMLE
8dbb2494-704e-4a13-b845-fbb9fb159bda,WHOSIS_000002,2013,AFR,WB_UMI,DZA,MLE
da953cc4-e0bb-4603-8b82-997dff74b9d4,WHOSIS_000002,2012,AFR,WB_UMI,DZA,BTSX
a6bdb2ef-439f-4c62-aea6-e2d6d882216f,WHOSIS_000002,2012,AFR,WB_UMI,DZA,FMLE
edfc09fb-6120-4f59-a444-ea9e3cb0487e,WHOSIS_000002,2012,AFR,WB_UMI,DZA,MLE
7d4ae5f6-3772-4392-9263-0f1f18304a5a,WHOSIS_000002,2000,AFR,WB_UMI,DZA,BTSX
b12a7b72-f5cb-4054-9d06-9260a0652007,WHOSIS_000002,2000,AFR,WB_UMI,DZA,FMLE
b1ea44a5-f811-4df2-bc9f-957620fa3e10,WHOSIS_000002,2000,AFR,WB_UMI,DZA,MLE
eef08cc8-206f-4e7b-b5f1-a878bfaf50b8,WHOSIS_000015,2013,AFR,NA,DZA,BTSX
fc90c63a-683f-4b0e-acad-01cc1f35080a,WHOSIS_000015,2013,AFR,NA,DZA,FMLE
f98ecc9c-8766-4844-900c-468b88999c68,WHOSIS_000015,2013,AFR,NA,DZA,MLE
a3d4a5d2-fead-4987-9edd-ad3a5d493a4e,WHOSIS_000015,2012,AFR,WB_UMI,DZA,BTSX
48a83f35-67e8-42ae-97b8-cefa2549c11b,WHOSIS_000015,2012,AFR,WB_UMI,DZA,FMLE
1ac0593e-fb57-4887-99d1-a1ebee89e3e9,WHOSIS_000015,2012,AFR,WB_UMI,DZA,MLE
607aced2-b067-4c60-a509-f40646b793a7,WHOSIS_000015,2000,AFR,WB_UMI,DZA,BTSX
b0faaf87-8fdd-497c-90e4-008cc0c4721b,WHOSIS_000015,2000,AFR,WB_UMI,DZA,FMLE
